Vanvard	VANPN
handilsviðurskifti	SNSA
,	,
samstarv	SNSN
innan	EA
útbúgving	SFSA
og	C
menning	SFSA
á	ED
flestu	ASSNPD
økjum	SNPD
,	,
rætt	DN
og	C
slætt	DN
at	CI
vera	VI
við	EN
,	,
har	DN
tingini	SNPNA
henda	VNPP3
.	.

Løgmaður	SMSN
heldur	VNPS3
ikki	DN
tað	PNSN
hevði	VNAS3
verið	VA
nakar	PIMSN
trupulleiki	SMSN
at	C
fingið	VA
limaskap	SMSA
í	EA
ES	T
ella	C
í	EA
EFTA	T
,	,
um	C
vit	P1PN
vóru	VNAP1
sjálvstøðug	APSNSN
tjóð	SFSN
.	.

Tað	PNSN
vildi	VNAS3
verið	VA
løgið	APSNSN
,	,
um	C
annar	PIMSN
parturin	SMSNA
fekk	VNAS3
alt	DN
.	.

-	-
Tað	PNSN
hevði	VNAS3
helst	DSN
verið	VA
eitt	PINSN
frálíkt	APSNSN
hugskot	SNSN
,	,
men	C
latið	VMP
okkum	P1PA
nú	DN
fyrst	DSN
fáa	VI
hetta	PDNSA
málið	SNSAA
uppá	EA
pláss	SNSA
.	.

Landsstýrið	SNSNA
er	VNPS3
sinnað	VANSN
at	CI
byggja	VI
verandi	VP
handilssáttmála	SMSA
út	DN
,	,
samstundis	DN
sum	C
farið	VA
verður	VNPS3
undir	EN
at	CI
kanna	VI
nærri	DCN
møguleikan	SMSAA
við	ED
einari	PIFSD
føroyskari	APSFSD
luttøku	SFSD
í	EA
EFTA	T
og	C
EBS	T
.	.

Føroya	SFPGL
Landsstýri	SNSN
luttekur	VNPS3
nú	DN
bæði	DN
á	ED
politiskum	APSNSD
og	C
embætismannastigi	SNSD
í	ED
arktiska	APWNSD
samstarvinum	SNSDA
.	.

Næstformaður	SMSN
er	VNPS3
Rólant	SMSNP
Næs	SXP
-	-
Joensen	SXP
,	,
meðan	C
felagið	SNSNA
hevur	VNPS3
fastan	APSMSA
skrivara	SMSA
,	,
Monrad	SMSAP
Kjælnes	SXP
,	,
sum	CR
tekur	VNPS3
sær	PMSD
av	ED
dagliga	APWNSD
virksemi	SNSD
felagsins	SNSGA
.	.

Tórshavnar	SFSGL
kommuna	SFSN
eigur	VNPS3
húsini	SNPAA
og	C
urtagarðin	SMSAA
hjá	ED
Hans	SMSDP
Andriasi	SMSDP
Djurhuus	SXP
beint	DN
við	EA
síðuna	SFSAA
av	EN
.	.

Býráðslimir	SMPNA
hava	VNPP3
ásannað	VA
,	,
at	C
vit	P1PN
eiga	VNPP1
at	CI
arbeiða	VI
miðvíst	DN
við	EN
at	CI
skapa	VI
umstøður	SFPA
fyri	EN
at	CI
eldri	ACSNPN
fólk	SNPN
fáa	VNPP3
alternativar	APSMPA
bústaðarmøguleikar	SMPA
sum	C
heild	SFSA
.	.

Út	DN
frá	ED
tí	PDNSD
taka	VNPP1
vit	P1PN
so	DN
eina	PIFSA
støðu	SFSA
,	,
men	C
eftir	ED
øllum	PINPD
at	CI
døma	VI
verða	VNPP3
tað	PNSN
eldraíbúðir	SFPN
.	.

Nielsen	SXP
,	,
stjóri	SMSN
í	ED
Trygd	SFSN
greitt	APSNSN
.	.

-	-
Bæði	DN
FDM	T
og	C
danska	APWNSN
brúkararráðið	SNSNA
hava	VNPP3
fleiri	ACSFPA
ferðir	SFPA
roynt	VA
at	C
fingið	VA
tryggingarfeløgini	SNPAA
at	CI
lækka	VI
prísirnar	SMPAA
á	ED
tryggingum	SFPD
fyri	EA
gamlar	APSMPA
bilar	SMPA
,	,
men	C
hetta	PDNSN
hevur	VNPS3
ikki	DN
eydnast	VE
.	.

-	-
Vit	P1PN
eiga	VNPP1
at	CI
leiga	VI
ein	PIMSA
katamaran	SMSA
til	EA
suðuroyarsiglingina	SFSAA
í	ED
eini	PIFSD
royndartíð	SFSD
,	,
heldur	VNPS3
Páll	SMSNP
Vang	SXP
,	,
býráðsformaður	SMSN
á	ED
Tvøroyri	SFSDL

Í	EA
dag	SMSA
fáast	VEPP3
katamaranar	SMPN
sum	CR
eru	VNPP3
líka	DN
stórir	APSMPN
,	,
og	C
væl	DN
størri	ACSMPN
enn	DN
Smyril	SMSN
.	.

Kannar	VNPS3
málið	SNSAA

Formaðurin	SMSNA
í	ED
Føroya	SFPGL
Reiðarafelag	SNSD
heldur	VNPS3
,	,
at	C
tað	PNSN
er	VNPS3
alneyðugt	APSNSN
við	ED
toppfundi	SMSD
ímillum	EA
Føroya	SFPGL
Løgmann	SMSA
og	C
norska	APWMSA
forsætismálaráðharran	SMSAA
um	EA
viðurskiftini	SNPAA
ímillum	EA
bæði	PINPN
londini	SNPAA
á	ED
fiskivinnuøkinum	SNSDA

Og	C
formaðurin	SMSNA
í	ED
reiðarafelagnum	SNSDA
dylir	VNPS3
ikki	DN
fyri	ED
,	,
at	C
hann	PMSN
er	VNPS3
sera	DN
misnøgdur	APSMSN
við	EA
atburðin	SMSAA
hjá	ED
norðmonnum	SMPD
.	.

Jákup	SMSNP
Sólstein	SMSAL
nevnir	VNPS3
dømi	SNSA
um	EA
,	,
tá	C
ið	C
svartkjaftakvotan	SFSNA
skuldi	VNAS3
býtast	VE
.	.

Teir	PMPN
eru	VNPP3
eitt	PINSN
stórt	APSNSN
strandaland	SNSN
,	,
og	C
teir	PMPN
hava	VNPP3
ein	PIMSA
stóran	APSMSA
,	,
effektivan	APSMSA
flota	SMSA
,	,
sigur	VNPS3
Jákup	SMSNP
Sólstein	SMSAL

-	-
Men	C
tó	DN
haldi	VNPS1
eg	P1SN
,	,
at	C
vit	P1PN
eiga	VNPP1
at	CI
senda	VI
norðmonnum	SMPD
eina	PIFSA
ábreiðslu	SFSA
og	C
eina	PIFSA
áheitan	SFSA
um	EN
ikki	DN
at	CI
vera	VI
so	DN
strangir	APSMPN
.	.

-	-
Føroysk	APSNPN
skip	SNPN
verða	VNPP3
kannað	VANPN
í	EA
tíð	SFSA
og	C
úrtíð	SFSA
.	.

-	-
Og	C
tað	PNSN
er	VNPS3
synd	SNSN
at	CI
siga	VI
,	,
at	C
norðmenn	SMPN
styðja	VNPP3
okkara	P1PG
sjónarmið	SNPA
.	.

Formaðurin	SMSNA
í	ED
reiðarafelagnum	SNSDA
sigur	VNPS3
,	,
at	C
hann	PMSN
mælir	VNPS3
bart	DN
út	DN
til	EN
,	,
at	C
okkara	P1PG
løgmaður	SMSN
,	,
Anfinn	SMSNP
Kallsberg	SNSNL
,	,
tekur	VNPS3
upp	DN
samband	SNSA
við	EA
norska	APWMSA
forsætismálaráðharran	SMSAA
,	,
Kjell	SMSNP
Magne	SMSNP
Bondevik	SXP
við	ED
áheitan	SFSD
um	EA
ein	PIMSA
fund	SMSA
at	CI
tosa	VI
um	EA
tær	PDFPA
stóru	APWFPA
linjurnar	SFPAA
í	ED
fiskivinnusamstarvinum	SNSDA
millum	EA
bæði	PINPA
londini	SNPAA
.	.

Nú	DN
hann	PMSN
er	VNPS3
keyptur	VAMSN
til	EA
Føroyar	SFPAL
,	,
hava	VNPP3
teir	PMPN
,	,
sum	CR
rættir	APSMPN
gøtumenn	SMPN
,	,
sjálvandi	DN
nevnt	VNAS3
hann	PMSN
Skurin	SMSNA
.	.

Tórhallur	SMSNP
Thomsen	SXP
leggur	VNPS3
dent	SMSA
á	EA
,	,
at	C
ætlanin	SFSNA
við	ED
hesum	PDNSD
skipinum	SNSDA
er	VNPS3
ikki	DN
at	CI
taka	VI
kappingina	SFSAA
upp	DN
við	EA
teir	PMPA
,	,
sum	CR
longu	DN
sigla	VNPP3
við	ED
farmi	SMSD
uppá	DN
Føroyar	SFPAL
.	.

-	-
Tvs	T
,	,
at	C
tað	PNSN
er	VNPS3
ikki	DN
koyrandi	VP
til	EA
nógv	APSNPA
alibrúk	SNPA
longur	DCN
.	.

Virkið	SNSNA
ber	VNPS3
heitið	SNSAA
Petur	SMSNP
&	&
Petur	SMSNP
og	C
eru	VNPP3
tað	PNSN
Petur	SMSNP
Slyne	SXP
og	C
Petur	SMSNP
Mohr	SXP
Reinert	SXP
,	,
ið	CR
reka	VNPP3
virkið	SNSAA

Virkið	SNSNA
fer	VNPS3
at	CI
arbeiða	VI
bæði	DN
á	ED
Føroyska	APWMSD
heimamarknaðinum	SMSDA
og	C
úti	DN
í	ED
heimi	SMSD
fyri	EA
føroyskar	APSFPA
útflutningsfyritøkur	SFPA
.	.

Hon	PFSN
er	VNPS3
vorðin	VAFSN
gomul	APSFSN
og	C
ótíðarhóskandi	VP
,	,
og	C
tí	C
er	VNPS3
kommunan	SFSNA
farin	VAFSN
undir	EA
eina	PIFSA
verkætlan	SFSA
at	CI
nýmótansgera	VI
hana	PFSA
.	.

Venjingarmiðstøð	SFSN

Kommunan	SFSNA
tekur	VNPS3
grundstykki	SNPA
inn	DN
aftur	DN

Sleppa	VNPP3
undan	DN
at	CI
útstykkja	VI

At	C
útstykkja	VI
er	VNPS3
rættiliga	DN
kostnaðarmikið	APSNSN
,	,
vit	P1PN
hava	VNPP1
bert	DN
eina	PIFSA
avmarkaða	APSFSA
orku	SFSA
til	EN
nýíløgur	SFPA
og	C
vit	P1PN
sleppa	VNPP1
ikki	DN
at	CI
taka	VI
lán	SNSA
.	.

Umframt	EA
hetta	PDNSA
var	VNAS3
eisini	DN
í	ED
semingsuppskotinum	SNSDA
eitt	PINSN
protokollat	SNSN
viðvíkjandi	ED
edv	T
-	-
fólkinum	SNSDA
á	ED
Strandferðsluni	SFSDA
,	,
sum	CR
kortini	DN
ongan	PIMSA
týdning	SMSA
sum	C
so	DN
hevði	VNAS3
fyri	EA
semjuna	SFSAA
,	,
sigur	VNPS3
Jógvan	SMSNP
Amondson	SMSNP
.	.

Vit	P1PN
fingu	VNAP1
heldur	DCN
ikki	DN
umboðini	SNSAA
fyri	EA
Starvsmannafelagið	SNSAA
at	CI
siga	VI
,	,
um	C
blokadan	SFSNA
við	EA
Fíggjarmálastýrið	SNSAA
verður	VNPS3
sett	VAFSN
í	EA
verk	SNSA
aftur	DN
.	.

Men	C
tað	PNSN
er	VNPS3
at	CI
skunda	VI
sær	PMSD
,	,
tí	C
seinasti	ASSMSN
framsýningardagur	SMSN
er	VNPS3
í	EA
dag	SMSA
,	,
og	C
tað	PNSN
er	VNPS3
í	ED
SMS	T
framsýningin	SFSNA
er	VNPS3
,	,
skuldi	VNAS3
nakar	PIMSN
ivast	VNPS3

Vestmanna	SFSGL
kommuna	SFSN
hevur	VNPS3
átikið	VA
sær	PFSD
at	CI
hava	VI
leigusáttmálan	SMSAA
við	EA
Vestmanna	SFSGL
Arbeiðarafelag	SNSA
,	,
ið	CR
eigur	VNPS3
húsið	SNSAA
,	,
um	EA
hendi	SFSA
.	.

-	-
Skuldi	VNAS3
tiltakið	SNSNA
dottið	VA
niður	DN
fyri	EN
,	,
hava	VNPP3
stigtakararnir	SMPNA
samtykt	VA
,	,
at	C
ognirnar	SFPNA
skulu	VNPP3
seljast	VE
og	C
peningurin	SMSNA
latast	VE
til	EA
Eldrasambýlið	SNSAA
á	ED
Miðalsbrekku	SFSDL
.	.

Men	C
einstaklingakappingin	SFSNA
,	,
sum	CR
á	ED
hvørjum	PNSD
ári	SNSD
er	VNPS3
á	ED
páskum	SFPD
,	,
hevur	VNPS3
eisini	DN
verið	VA
hildin	VAMSN
í	ED
nógvum	APSNPD
øðrum	PINPD
plássum	SNPD
.	.

Klaksvíkingar	SMPN
hava	VNPP3
tey	PDNPA
seinnu	ACWNPA
árini	SNPAA
verið	VA
dúgligir	APSMPN
at	C
tikið	VA
lut	SMSA
í	ED
FM	T
kappingunum	SFPDA
fyri	EA
einstaklingar	SMPA
,	,
eisini	DN
tá	C
tær	PFPN
hava	VNPP3
verið	VA
aðrastaðni	DN
enn	DN
í	ED
Klaksvík	SFSDL
:	:

Tað	PNSA
harmast	VEPS3
t.d.	T
teir	PMPN
í	ED
Klaksvík	SFSDL
um	EN
,	,
men	C
tað	PNSN
hevði	VNAS3
kanska	DN
ikki	DN
verið	VA
av	ED
leið	SFSD
hjá	ED
øðrum	PINPD
feløgum	SNPD
at	C
tikið	VA
táttin	SMSAA
upp	DN
hjá	ED
klaksvíkingum	SMPD
at	CI
skipa	VI
soleiðis	DN
fyri	EN
,	,
at	C
feløgini	SNPNA
syrgja	VNPP3
fyri	ED
innivisti	SNSD
til	EA
allar	APWMPA
telvararnar	SMPAA
,	,
sum	CR
fara	VNPP3
avstað	DN
.	.

Herfyri	DN
fekk	VNAS3
Rógvi	SMSNP
sáttmála	SMSA
við	EA
danska	APWNSA
súkklufelagið	SNSAA
Cycling	F
Aarhus	F
Elite	F
,	,
og	C
síðst	DSN
í	ED
undanfarna	VAMSD
mánaða	SMSD
fór	VNAS3
Rógvi	SMSNP
saman	DN
við	ED
øðrum	PIMPD
súkklarum	SMPD
til	EA
Mallorca	SFSAL
á	EA
venjingarlegu	SFSA
.	.

Hósdagin	SMSAA
í	ED
komandi	VP
viku	SFSD
er	VNPS3
talan	SFSN
um	EA
eina	PIFSA
liðkapping	SFSA
,	,
har	DN
tað	PNSN
snýr	VNPS3
seg	PNSA
um	EN
at	CI
arbeiða	VI
best	DSN
fyri	EA
lið	SNSA
sítt	PNSG
.	.

KÍ	T
vann	VNAS3
FM	T
í	ED
1991	NC
.	.

Í	EA
fjør	SX
endaðu	VNAP3
HB	T
og	C
KÍ	T
ovast	ASSNPN
bæði	DN
í	ED
landskappingini	SFSDA
og	C
í	ED
steypakappingini	SFSDA
.	.

Hálvfinalurnar	SFPNA
í	ED
steypakappingini	SFSDA
verða	VNPP3
13	NOMSA
.	.

At	C
teir	PMPN
so	DN
at	CI
siga	VI
mistu	VNAP3
tvey	NCNPA
stig	SNPA
í	ED
Vági	SMSDL
dýra	APWMSA
biðidag	SMSA
verða	VNPP3
teir	PMPN
neyvan	DN
einsamallir	APSMPN
um	EN
at	CI
gera	VI
.	.

Vágbingar	SMPN
skulu	VNPP3
til	EA
Gøtu	SFSAL
sunnudagin	SMSAA
.	.

Tvær	NCFPN
samtyktir	SFPN
vórðu	VNAP3
gjørdar	VAFPN
á	ED
fundinum	SMSDA
.	.

Vøggustovan	SFSNA
og	C
barnagarðurin	SMSNA
taka	VNPP3
42	NC
børn	SNPA

Leiðari	SMSN
á	ED
stovninum	SMSDA
er	VNPS3
Jóhanna	SFSNP
Heinesen	SXP
.	.

Og	C
tað	PNSN
er	VNPS3
ikki	DN
minst	DSN
pedagogunum	SMPDA
at	CI
takka	VI
,	,
sigur	VNPS3
Leivur	SMSNP
Hansen	SXP
,	,
býráðsformaður	SMSN
.	.

-	-
Avtalan	SFSNA
sum	CR
er	VNPS3
gjørd	VAFSN
ímillum	EA
føroysku	APWMPA
serlæknarnar	SMPAA
og	C
sjúkrasystrarnar	SFPAA
um	EA
eina	PIFSA
felags	AI
leiðslu	SFSA
á	ED
Landssjúkrahúsinum	SNSDA
er	VNPS3
ógyldug	APSFSN
,	,
sigur	VNPS3
danska	APWNSN
serlæknafelagið	SNSNA

Í	ED
einum	PINSD
brævi	SNSD
til	EA
Jóhan	SMSAP
Petur	SMSAP
Davidsen	SXP
,	,
sum	CR
nú	DN
er	VNPS3
formaður	SMSN
í	ED
føroyska	APWNSD
serlæknafelagnum	SNSDA
,	,
ger	VNPS3
danska	APWNSN

Klaksvíkar	SFSGL
sjúkrahús	SNSN
eigur	VNPS3
tríggjar	NCMPA
sjúkrabilar	SMPA
.	.

Hava	VNPP3
søkt	VA
í	EA
fleiri	ACSNPA
ár	SNPA

Gjørdur	VAMSN
aftur	DN

Steðga	VI
undir	ED
sjúkraflutningi	SMSD

Teir	PMPN
vunnu	VNAP3
norðoyastevnuróðurin	SMSAA
,	,
men	C
kappingin	SFSNA
frá	ED
Sølmundi	SMSDP
var	VNAS3
ógvuliga	DN
hørð	APSFSN
,	,
og	C
tá	C
tað	PNSN
eydnast	VEPS3
at	CI
vinna	VI
í	ED
harðari	ACSFSD
kapping	SFSD
,	,
kennist	VEPS3
tað	PNSN
uppaftur	DN
sigurssælari	ACSNSN
.	.

Men	C
um	C
tað	PNSN
eru	VNPP3
umstøður	SFPN
,	,
sum	C
manningin	SFSNA
onga	PIFSA
ávirkan	SFSA
hevur	VNPS3
á	EN
,	,
og	C
sum	C
fyrireikararnir	SMPNA
eru	VNPP3
upphav	SNSN
til	EN
,	,
so	DN
er	VNPS3
støðan	SFSNA
ein	PIFSN
onnur	PIFSN
,	,
og	C
so	DN
er	VNPS3
tað	PNSN
upp	DN
til	EA
høvuðsdómaran	SMSAA
at	CI
meta	VI
um	EA
,	,
hvussu	DN
málið	SNSNA
skal	VNPS3
avgreiðast	VE
.	.

Í	EA
fjør	SNSA
var	VNAS3
Snopprikkur	SMSNP
hjá	ED
hvalbingum	SMPD
,	,
sum	CR
er	VNPS3
mannaður	VAMSN
og	C
venur	VNPS3
í	ED
Havnini	SFSDAL
,	,
FM	T
vinnari	SMSN
.	.

Teir	PMPN
fýra	NC
bólkarnir	SMPNA
vóru	VNAP3
teir	PDMPN
tríggir	NCMPN
Prix	F
Føroyar	SFPNL
finalistarnir	SMPNA
,	,
Flux	F
,	,
Diatribes	F
og	C
Tangz	F
,	,
umframt	EA
bólkin	SMSAA
JoJo	F
.	.

Næsti	ASWMSN
bólkurin	SMSNA
á	ED
lítla	APWMSD
pallinum	SMSDA
í	ED
krókinum	SMSDA
í	ED
kjallaranum	SMSDA
hjá	ED
Kagganum	SMSDA
var	VNAS3
Diatribes	F
.	.

Fleiri	ACSMPN
av	ED
luttakarunum	SMPDA
høvdu	VNAP3
ikki	DN
roynt	VA
seg	PMPA
í	ED
pool	F
áður	DN
,	,
men	C
tað	PNSN
var	VNAS3
skjótt	DN
,	,
so	DN
var	VNAS3
tað	PNSN
,	,
sum	C
høvdu	VNAP3
tey	PNPN
aldrin	DN
gjørt	VA
nakað	PINSA
annað	PINSA
.	.

Eingin	PIMSN
ivi	SMSN
var	VNAS3
um	EA
,	,
at	C
tiltakið	SNSNA
í	ED
Kagganum	SMSDA
hóskvøldið	SNSAA
eydnaðist	VEAS3
stak	DN
væl	DN
.	.

Signar	SMSNP
á	ED
Brúnni	SFSDAL
,	,
landstýrismaður	SMSN
,	,
heldur	VNPS3
tað	PNSA
vera	VI
løgið	APSNSA
,	,
at	C
fíggjarnevndarformaðurin	SMSNA
,	,
ið	CR
var	VNAS3
heitur	APSMSN
talsmaður	SMSN
fyri	ED
nýggju	APWFSD
fólkaskúlalógini	SFSDA
,	,
nú	DN
ikki	DN
vil	VNPS3
játta	VI
pening	SMSA
,	,
so	DN
lógin	SFSNA
fæst	VEPS3
at	CI
virka	VI

-	-
Vit	P1PN
eru	VNPP1
komin	VANPN
í	EA
eina	PIFSA
ringa	APSFSA
støðu	SFSA
.	.

Løgtingið	SNSNA
hevur	VNPS3
samtykt	VA
lóg	SFSA
,	,
ið	CR
sigur	VNPS3
,	,
at	C
so	DN
og	C
so	DN
nógv	DN
skal	VNPS3
nýtast	VE
har	DN
og	C
har	DN
.	.

Signar	SMSNP
á	ED
Brúnni	SFSDAL
metir	VNPS3
,	,
at	C
málið	SNSNA
er	VNPS3
farið	VA
í	ED
góðari	APSFSD
tíð	SFSD
í	EA
Fíggjarmálastýrið	SNSAA
.	.

Signar	SMSNP
á	ED
Brúnni	SFSDAL
,	,
landstýrismaður	SMSN
,	,
vísir	VNPS3
á	EA
,	,
at	C
Undirvísingar-	SNSNA
og	C
Mentamálastýrið	SNSNA
í	ED
góðari	APSFSD
tíð	SFSD
sendi	VNAS3
fíggjarmálastýrinum	SNSDA
málið	SNSAA
,	,
men	C
hesum	PDNSD
vísir	VNPS3
fíggjarmálaráðharrin	SMSNA
aftur	DN
LESIÐ	VMP
EISINI	DN
VIÐMERKINGARNAR	SFPAA
HJÁ	ED
SIGNARI	SMSDP
Á	ED
BRÚNNI	SFSDA
OG	C
KARSTEN	SMSDP
HANSEN	SXP

-	-
Hetta	PDNSN
er	VNPS3
tað	PDNSN
prinsipiella	APWNSN
.	.

Bjarni	SMSNP
Djurholm	SXP
heldur	VNPS3
,	,
at	C
skal	VNPS3
meirjáttan	SFSN
veitast	VE
til	EA
okkurt	PINSA
málsøki	SNSA
,	,
so	DN
skulu	VNPP3
samsvarandi	VP
sparingar	SFPN
finnast	VEPP3
.	.

Vit	P1PN
kunnu	VNPP1
spyrja	VI
okkum	P1PD
,	,
um	C
nakar	PIMSN
føroyingur	SMSN
hevur	VNPS3
tað	PNSA
100	NC
milliónir	SFPA
betri	DCN
í	EA
ár	SNSA
,	,
enn	DN
í	EA
fjør	SX
.	.

Tá	C
ið	C
Tryggingarfeløgini	SNPNA
í	ED
fjør	SX
løgdu	VNAP3
saman	DN
í	EA
Tryggingarfelagið	SNSAA
Føroyar	SFPAL
,	,
var	VNAS3
dagurin	SMSNA
hátíðarhildin	VAMSN
á	EA
ymsan	APSMSA
hátt	SMSA
.	.

Hava	VNPP3
ikki	DN
pláss	SNSA

-	-
Hetta	PDNSN
er	VNPS3
eitt	PINSN
mál	SNSN
,	,
sum	CR
hevur	VNPS3
volt	VA
okkum	P1PD
serstakliga	DN
nógv	APSNPA
høvubrýggj	SNPA
.	.

Ber	VNPS3
tað	PNSN
ikki	DN
til	EN
at	CI
seta	VI
hann	PMSA
onkra	PINSA
aðrastaðni	DN
?	?

Sostatt	DN
er	VNPS3
yvirlæknin	SMSNA
sera	DN
fegin	APSMSN
um	EN
at	CI
fáa	VI
hendan	PDMSA
nýggja	APWMSA
skannaran	SMSAA
.	.

Umsókn	SFSNA
um	EA
ættleiðing	SFSA
verður	VNPS3
fyrst	DSN
send	VAFSN
Ríkisumboðnum	SNSDA
.	.

Lóg	SFSN
og	C
tilskot	SNSN

Lógin	SFSNA
gevur	VNPS3
foreldrunum	SNPDA
størri	ACSFSA
ávirkan	SFSA
á	EA
viðgerðina	SFSAA
í	ED
sambandi	SNSD
við	EA
góðkenningina	SFSAA
sum	C
ættleiðingarforeldur	SNPN
.	.

-	-
Vit	P1PN
hava	VNPP1
ikki	DN
fingið	VA
nakað	PINSA
at	CI
vita	VI
um	EA
broytingar	SFPA
,	,
sigur	VNPS3
Eli	SMSNP
Lyngvej	SXP
-	-
Larsen	SXP
.	.

-	-
Tað	PNSN
ber	VNPS3
heilt	DN
einfalt	DN
ikki	DN
til	EN
,	,
at	CI
hava	VI
eina	PIFSA
skipan	SFSA
gangandi	VP
við	ED
bara	DN
trimum	NCMPD
flogskiparum	SMPD
,	,
sigur	VNPS3
hann	PMSN
.	.

Og	C
hesaferð	DN
tykist	VEPS3
vera	VI
meira	ACSMSN
álvara	SMSA
í	ED
spurninginum	SMSDA
um	C
hon	PFSN
fer	VNPS3
at	CI
flúgva	VI
.	.

Í	ED
onkrum	PINSD
føri	SNSD
eru	VNPP1
vit	P1PN
kanska	DN
klárir	APSMPN
væl	DN
áðrenn	C
eitt	PINSN
ár	SNSN
er	VNPS3
farið	VANSN
,	,
sigur	VNPS3
Magni	SMSNP
Arge	SXP
,	,
stjóri	SMSN
.	.

Frágreiðingin	SFSNA
er	VNPS3
ikki	DN
liðug	APSFSN
enn	DN
+	+
vit	P1PN
bíða	VNPP1
eftir	ED
tølunum	SNPDA
frá	ED
framleiðarunum	SMPDA
,	,
men	C
beint	DN
eftir	EN
at	C
tey	PNPN
eru	VNPP3
komin	VANPN
,	,
verður	VNPS3
hon	PFSN
løgd	VAFSN
á	EA
borði	SNSA
til	EA
politiska	APSFSA
viðgerð	SFSA
,	,
sigur	VNPS3
Magni	SMSNP
Arge	SXP
,	,
stjóri	SMSN
.	.

Bókhald	SNSN
og	C
ársroknskapur	SMSN

-	-
Hetta	PDNSN
er	VNPS3
ikki	DN
nakað	PINSN
,	,
sum	CR
hevur	VNPS3
tikið	VA
seg	PNSA
upp	DN
beint	DN
nú	DN
.	.

Verður	VNPS3
trýst	SNSN
lagt	VANSN
á	EA
kostnaðin	SMSAA
,	,
verður	VNPS3
eisini	DN
trýst	SNSN
lagt	VANSN
á	EA
kappingarførið	SNSAA
,	,
tí	C
so	DN
koma	VNPP3
bæði	DN
lønir	SFPN
og	C
prísir	SMPN
undir	EA
trýst	SNSA
.	.

Hann	PMSN
sigur	VNPS3
,	,
at	C
hansara	PMSG
tilmæli	SNSN
er	VNPS3
hinvegin	DN
,	,
at	C
okkurt	PINSN
slag	SNSN
av	ED
kravdari	VAFSD
uppsparing	SFSD
verður	VNPS3
sett	VAFSN
,	,
so	DN
at	C
trygd	SFSN
er	VNPS3
fyri	EA
,	,
at	C
fólk	SNPN
fáa	VNPP3
peningin	SMSAA
aftur	DN
.	.

-	-
Tað	PNSN
tekur	VNPS3
tíð	SFSA
at	CI
fáa	VI
bygnaðarpolitikk	SMSA
at	CI
virka	VI
,	,
og	C
tað	PNSN
er	VNPS3
ógvuliga	DN
vandamikið	APSNSN
at	CI
loyva	VI
vissum	APSMPD
pørtum	SMPD
av	ED
búskapinum	SMSDA
at	CI
blíva	VI
ov	DN
heitar	APSMPA
fyri	EN
at	CI
fáa	VI
eina	PIFSA
tillaging	SFSA
á	ED
øðrum	PINPD
økjum	SNPD
.	.

Mynd	SFSN
:	:
Jens	SMSNP
Kr	T
.	.

Men	C
eisini	DN
nakað	PINSN
av	ED
eldri	ACSNSD
tilfari	SNSD
er	VNPS3
,	,
millum	EA
annað	PINSA
,	,
Tú	P2SN
alfagra	APSNSN
land	SNSN
mítt	P1SG
'	'
og	C
so	DN
teir	PDMPN
sangirnir	SMPNA
,	,
ið	CR
hava	VNPP3
sín	PMSA
uppruna	SMSA
í	ED
Svøríki	SNSDL
og	C
Danmark	SNSDL
.	.

Um	EA
umstøðurnar	SFPAA
hjá	ED
kórsangi	SMSD
sigur	VNPS3
Bjarni	SMSNP
Restorff	SXP
,	,
at	C
nógvir	APSMPN
góðir	APSMPN
sangarar	SMPN
eru	VNPP3
,	,
men	C
fáir	APSMPN
sanglærarar	SMPN
og	C
hann	PMSN
leggur	VNPS3
afturat	ED
,	,
at	C
nýggja	APWFSN
fólkaskúlalógin	SFSNA
nevnir	VNPS3
einki	DN
hesum	PDNSD
viðvíkjandi	ED
.	.

Ingeborg	SFSNP
Vinther	SXP
:	:
Grovt	APSNSN
at	C
lønarhækkingin	SFSNA
nú	DN
skal	VNPS3
takast	VE
frá	ED
okkum	P1PD
aftur	DN

Annars	DN
heldur	VNPS3
Ingeborg	SFSNP
Vinther	SXP
,	,
at	C
tað	PNSN
er	VNPS3
toppmált	APSNSN
,	,
og	C
ikki	DN
sørt	DN
provokerandi	VP
,	,
at	CI
fara	VI
at	CI
tosa	VI
um	EN
at	CI
seta	VI
búskaprlig	APSNPA
tiltøk	SNPA
í	EA
verk	SNSA
nú	DN
.	.

-	-
So	DN
skjótt	DN
,	,
tað	PNSN
liggur	VNPS3
fyri	EN
,	,
fara	VNPP3
vit	P1PN
at	CI
hava	VI
fund	SMSA
í	ED
sjeymannabólkinum	SMSDA
at	CI
tosa	VI
um	EA
støðuna	SFSAA
,	,
tí	C
vit	P1PN
fara	VNPP3
ikki	DN
at	CI
finna	VI
okkum	P1PA
í	ED
,	,
at	C
tosað	VA
verður	VNPS3
um	EA
tiltøk	SNPA
,	,
bara	DN
tí	DN
,	,
at	C
vit	P1PN
hava	VNPP3
fingið	VA
nøkur	PINPA
oyru	SNPA
uppá	EA
lønina	SFSAA

Kjønn	F
og	F
politik	F
i	F
Norden	F
.	.

Men	C
tey	PNPN
,	,
sum	CR
hava	VNPP3
átt	VA
ein	PIMSA
leiklut	SMSA
í	ED
bókini	SFSDA
,	,
vísa	VNPP3
á	EA
,	,
at	C
