-	KO
á	DG
midnátt	SFSD
var	VNAS3
morsilykilin	SMSNA
innilæstur	VAMSN
í	DG
altjóða	APSMSD
samanhangi	SMSD
og	C
í	DG
tí	PDNSD
sambandinum	SNSDA
varð	VNAS3
skipað	VANSN
fyri	DG
lítlari	APSFSD
samkomu	SFSD
fyri	DG
núverandi	AI
og	C
fyrrverandi	AI
starvsfólkum	SNPD

Ein	PBMSN
fyrimunur	SMSN
við	DG
hesi	PDFSD
skipan	SFSD
er	VNPS3
at	C
um	C
tað	PPNSN
ikki	DN
eydnast	VEPS3
at	CI
fáa	VI
beinleiðis	DN
samband	SNSA
við	DG
skipið	SNSAA
,	KC
so	DN
sendir	VNPS3
GMDSS	TS
-	KO
urin	SMSNA
eina	PBFSA
Intentifikatión	SFSA
og	C
eina	PBFSA
positión	SFSA
,	KC
sum	CR
tryggjar	VNPS3
at	C
hjálp	SFSN
kann	VNPS3
sendast	VE
til	DG
rætta	APSNSA
stað	SNSA
,	KC
hóast	C
ein	PBMSN
ikki	DN
hevur	VNPS3
munnligt	APSNSA
samband	SNSA
við	DG
skipið	SNSAA
.	KE

Fólk	SNPN
vilja	VNPP3
heldur	DCN
ringja	VI
beinleiðis	DN
,	KC
enn	DN
at	CI
ringja	VI
til	DG
okkara	PP1PG
,	KC
og	C
tað	PPNSA
mugu	VNPP1
vit	PP1PN
góðtaka	VI
,	KC
sigur	VNPS3
Aksel	SMSNP
Haraldsen	SXP

Vit	PP1PN
kunnu	VNPP1
ikki	DN
bara	DN
vera	VI
í	DG
status	F
quo	F
støðu	SFSD
,	KC
soleiðis	DN
at	C
einki	PBNSN
hendir	VNPS3
.	KE

Í	DG
Føroyum	SFPDP
er	VNPS3
tað	PPNSN
løgmaður	SMSN
,	KC
sum	CR
situr	VNPS3
fyri	DG
uttanlandsmálum	SNPD
og	C
sum	CR
samskipar	VNPS3
uttanlandsmál	SNPA
.	KE

Anfinn	SMSNP
Kallsberg	SNSNP
heldur	VNPS3
,	KC
at	C
vit	PP1PN
mugu	VNPP1
viðgera	VI
og	CI
taka	VI
støðu	SFSA
til	DG
uttanlandsmálini	SNPAA
uttan	DG
mun	SMSA
til	DG
,	KC
hvat	PQNSN
hendir	VNPS3
í	DG
viðurskiftunum	SNPDA
millum	DG
Danmark	SNSAP
og	C
Føroyar	SFPAP
.	KE

at	C
meðan	C
Danmark	SNSNP
er	VNPS3
við	DN
í	DG
einum	PBMSD
rívandi	VP
útviklingi	SMSD
innan	DG
ES	TS
,	KC
so	DN
eru	VNPP1
vit	PP1PN
als	DN
ikki	DN
við	DN
í	DG
tí	PDNSD
samstarvinum	SNSDA
.	KE

-	KO
Tað	PPNSA
sigi	VNPS1
eg	PP1SN
ikki	DN
neyðturviliga	DN
,	KC
men	C
tað	PPNSN
er	VNPS3
neyðugt	APSNSN
at	CI
fáa	VI
avklárað	VANSN
spurningin	SMSAA
.	KE

Løgmaður	SMSN
sær	VNPS3
annars	DN
fyri	DG
sær	PPMSD
stórar	APSMPA
møguleikar	SMPA
fyri	DG
at	CI
menna	VI
samvinnuna	SFSAA
við	DG
bretar	SMPA
í	DG
framtíðini	SFSDA
.	KE

Vit	PP1PN
prenta	VNPP1
her	DN
samandrátt	SMSA
løgmans	SMSGA
av	DG
Uttanlandsmálum	SNPD
í	DG
frágreiðingini	SFSDA
,	KC
sum	CR
varð	VNAS3
latin	VAFSN
tinginum	SNSDA
í	DG
farnu	APWFSD
viku	SFSD
.	KE

Annars	DN
verður	VNPS3
víst	VANSN
til	DG
tað	PDNSA
Reyða	APWNSA
Álitið	SNSAA
,	KC
ið	CR
var	VNAS3
latið	VANSN
løgtinginum	SNSDA
í	DG
fjør	SX
.	KE

Karl	SMSNP
formaður	SMSN
í	DG
25	NO
ár	SNPA

Karl	SMSNP
Johansen	SXP
varð	VNAS3
fyrstu	ASWFSA
ferð	SFSA
valdur	VAMSN
til	DG
formann	SMSA
í	DG
Havnar	SFSGP
Arbeiðsmannafelag	SNSN
í	DG
1976	NO
og	C
hevur	VNPS3
sitið	VANSN
øll	PBNPA
árini	SNPAA
síðani	DN
.	KE

-	KO
Hetta	PDNSA
gera	VNPP1
vit	PP1PN
fyri	DN
at	CI
varðveita	VI
nakrar	PBMPA
grønar	APSMPA
blettir	SMPA
í	DG
býnum	SMSDA
og	C
fyri	DN
at	CI
skapa	VI
ein	PBMSA
hugna	SMSA
hjá	DG
fólki	SNSD
mitt	DN
í	DG
øllum	PBMSD
ferðslurokanum	SMSDA
.	KE

Somuleiðis	DN
ætlar	VNPS3
grunnurin	SMSNA
at	CI
byggja	VI
eldraíbúðir	SFPA
á	DG
eini	PBFSD
trøð	SFSD
,	KC
teir	PPMPN
hava	VNPP3
keypt	VANSN
við	DG
Dalavegin	SMSAP
umframt	DN
at	C
aðrar	PBFPN
ætlanir	SFPN
eru	VNPP3
í	DG
umbúna	SMSD
.	KE

Tey	PPNPN
eru	VNPP3
í	DG
einum	PBNSD
góðum	APSNSD
og	C
vøkrum	APSNSD
umhvørvi	SNSD
við	DG
einum	PBMSD
stórum	APSMSD
urtagarði	SMSD
,	KC
sigur	VNPS3
Jóannes	SMSNP
Dalsgarð	SMSNP
,	KC
stjóri	SMSN
í	DG
Húsalánsgrunninum	SMSDA
.	KE

Tað	PPNSN
rætta	APSNSN
er	VNPS3
,	KC
at	C
tey	PPNPN
ongantíð	DN
hava	VNPP3
innført	VANSN
hesar	PDFPA
skipanir	SFPA
,	KC
og	C
tað	PPNSA
hava	VNPP3
tryggingarfeløg	SNPN
í	DG
eitt	DN
nú	DN
Danmark	SNSDP
verið	VANSN
nógv	DN
kritiserað	VANPN
fyri	DN
,	KC
sigur	VNPS3
Christian	SMSNP
C	X
.	KE

Fyri	DG
tað	PDNSA
fyrsta	ASWNSA
,	KC
so	DN
kanst	VEPS2
tú	PP2SN
loyva	VI
tær	PP2SD
at	CI
umvæla	VI
gamlar	APSMPA
bilar	SMPA
við	DG
brúktum	APSMPD
lutum	SMPD
,	KC
hóast	C
eg	PP1SN
væl	DN
veit	VNPS1
,	KC
at	C
hetta	PDNSN
ikki	DN
verður	VNPS3
gjørt	VANSN
í	DG
stóran	APSMSA
mun	SMSA
í	DG
Føroyum	SFPDP
.	KE

Hann	PPMSN
skjýtur	VNPS3
upp	DN
fyri	DG
politikarum	SMPD
,	KC
at	C
næstu	ASSFSA
ferð	SFSA
,	KC
Smyril	SMSN
skal	VNPS3
í	DG
dokk	SFSA
,	KC
verður	VNPS3
tað	PPNSN
gjørt	VANSN
um	DG
summarið	SNSAA
.	KE

Páll	SMSNP
Vang	SXP
sigur	VNPS3
,	KC
at	C
hann	PPMSN
veit	VNPS3
ikki	DN
,	KC
um	C
slík	PINPN
skip	SNPN
kunnu	VNPP3
brúkast	VE
í	DG
Føroyum	SFPDP
.	KE

Annars	DN
sigur	VNPS3
stjórin	SMSNA
á	DG
Strandferðsluni	SFSDA
,	KC
at	C
málið	SNSNA
um	DG
katamaran	SMSA
verður	VNPS3
tikið	VANSN
upp	DN
í	DG
sambandi	SNSD
við	DG
arbeiðið	SNSAA
at	CI
fyrireika	VI
nýtt	APSNSA
suðuroyarskip	SNSA
.	KE

Jákup	SMSNP
Sólstein	SMSAP
,	KC
formaður	SMSN
í	DG
Føroya	SFPGP
Reiðarafelag	SNSD
,	KC
er	VNPS3
rættiliga	DN
misnøgdur	APSMSN
við	DG
atburðin	SMSAA
hjá	DG
norðmonnum	SMPD
á	DG
fiskivinnuøkinum	SNSDA
.	KE

Tí	C
hon	PPFSN
er	VNPS3
sjálvandi	DN
eftir	DG
lógini	SFSDA
.	KE

Jákup	SMSNP
Sólstein	SMSAP
sigur	VNPS3
,	KC
at	C
fyrst	DSN
hava	VNPP3
norðmenn	SMPN
býtt	VANSN
sær	PPMPD
til	DG
240.000	NO
tons	SNPA
frá	DG
ES	TS
.	KE

-	KO
Meiri	DCN
áttu	VNAP3
norsku	APWMPN
myndugleikarnir	SMPNA
ikki	DN
at	C
gjørt	VANSN
við	DG
málið	SNSAA
,	KC
tí	C
hatta	PDNSN
er	VNPS3
so	DN
mikroskopiskt	APSNSN
,	KC
at	C
tað	PPNSN
er	VNPS3
ikki	DN
vert	APSNSN
at	CI
taka	VI
uppá	DG
tunguna	SFSAA
.	KE

-	KO
Vit	PP1PN
eiga	VNPP3
eisini	DN
at	CI
umhugsa	VI
,	KC
um	C
vit	PP1PN
yvirhøvur	DN
skulu	VNPP3
lata	VI
tað	PPNSA
koma	VI
uppá	DG
tal	SNSA
at	CI
byggja	VI
tað	PDNSA
nýggja	APWNSA
,	KC
føroyska	APWNSA
verjuskipið	SNSA
í	DG
Noregi	SNSDP
.	KE

-	KO
Teir	PPMPN
brúka	VNPP3
alla	PBFSA
sína	PPFSA
orku	SFSA
til	DN
at	CI
seta	VI
føroyingar	SMPA
í	DG
eina	PBFSA
so	DN
trupla	APSFSA
støðu	SFSA
,	KC
sum	CR
gjørligt	DN
.	KE

-	KO
Í	DG
øllum	PBNPD
hesum	PDNPD
trimum	NCNPD
málunum	SNPDA
eru	VNPP3
norðmenn	SMPN
okkara	PP1PG
ringastu	ASWMPN
fíggindar	SMPN
,	KC
sigur	VNPS3
formaðurin	SMSNA
í	DG
reiðarafelagnum	SNSDA
.	KE

Skipið	SNSNA
kemur	VNPS3
til	DG
Føroyar	SFPAP
eftir	DG
páskir	SFPA

M.a.	TS
skal	VNPS3
blásari	SMSN
setast	VE
umborð	DN
til	DN
at	CI
blása	VI
skipið	SNSAA
tómt	APSNSN
við	DN
,	KC
tá	C
ið	C
lastin	SFSNA
er	VNPS3
í	DG
leysum	APSNSD
.	KE

Heri	SMSNP
Thomsen	SXP
í	DG
Gøtu	SFSDP
eru	VNPP3
annars	DN
mest	DSN
kendir	VAMPN
fyri	DN
at	CI
koyra	VI
bil	SMSA
.	KE

Báturin	SMSNA
verður	VNPS3
serliga	DN
útgjørdur	VAMSN
til	DN
at	CI
fylla	VI
á	DG
flakar	SMPA
,	KC
m.a.	TS
skal	VNPS3
hann	PPMSN
hava	VNPP3
blásarar	SMPA
til	DN
at	CI
blása	VI
leysafóður	SNSA
úr	DG
lastini	SFSDA

marknaðarføring	SFSA

C	X
.	KE

Hetta	PDNSN
hevði	VNAS3
við	DG
sær	PPNSD
,	KC
at	C
nýggj	APSNPN
og	C
betri	ACSNPN
gólv	SNPN
komu	VNAP3
í	DG
umklæðingarrúmini	SNPAA
.	KE

Hóast	C
reiðskapur	SMSN
til	DG
styrkivenjing	SFSA
ikki	DN
er	VNPS3
komin	VAMSN
í	DG
svimjihøllina	SFSAA
enn	DN
,	KC
so	DN
eru	VNPP3
sólir	SFPN
komnar	VAFPN
.	KE

Á	DG
síðsta	ASSMSD
býráðsfundi	SMSD
í	DG
Havn	SFSDP
varð	VNAS3
samtykt	VANSN
,	KC
at	C
Tórshavnar	SFSGP
kommuna	SFSN
í	DG
framtíðini	SFSDA
ikki	DN
loyvir	VNPS3
sølu	SFSA
av	DG
grundstykkjum	SNPD
sínámillum	DN
.	KE

-	KO
Málið	SNSNA
er	VNPS3
farið	VANSN
aftur	DN
í	DG
byggi-	SFSAA
og	C
býarskipanarnevndina	SFSAA
,	KC
har	DN
tað	PPNSN
skal	VNPS3
gerast	VE
av	DN
,	KC
hvussu	DN
farast	VE
skal	VNPS3
fram	DN
.	KE

-	KO
Prinsippið	SNSNA
í	DG
semingsuppskotinum	SNSDA
var	VNAS3
ein	PBFSN
lønarhækking	SFSN
upp	DN
á	DG
6,5	NP
%	M
,	KC
býtt	VAFSN
upp	DN
á	DG
serkrøv	SNPA
,	KC
umflokkingar	SFSA
,	KC
lønarhækking	SFSA
og	C
at	CI
taka	VI
karensdagarnar	SMPAA
burtur	DN
.	KE

Aðalverkfall	SNSN
hugsandi	VP

Tað	PPNSN
er	VNPS3
B36	TS
,	KC
og	C
kanska	DN
serliga	DN
Birgar	SMSNP
Johannesen	SXP
,	KC
sum	CR
hevur	VNPS3
víst	VANSN
stóran	APSMSA
áhuga	SMSA
fyri	DG
farnum	VAFPD
tíðum	SFPD
.	KE

Fyrr	DCN
enn	DN
nú	DN
.	KE

Eisini	DN
verður	VNPS3
fríðkað	VANSN
uttanfyri	DN
og	C
beinkir	SMPN
keyptir	VAMPN
,	KC
so	DN
fólk	SNPN
kunnu	VNPP3
sita	VI
uttan	DN
fyri	DN
,	KC
tá	C
ið	C
veðrið	SNSNA
er	VNPS3
til	DG
vildar	SFSG
.	KE

FM	TS
í	DG
talvi	SNSD
fyri	DG
einstaklingar	SMPA
:	KE
Hesi	PDNPA
seinnu	ACWNPA
árini	SNPAA
hevur	VNPS3
gongdin	SFSNA
alt	DN
meiri	DCN
verið	VANSN
tann	PDFSN
,	KC
at	C
kappingarnar	SFPNA
hava	VNPP3
verið	VANSN
í	DG
Havnini	SFSDAP
ella	C
í	DG
Klaksvík	SFSDP
,	KC
og	C
tað	PPNSA
halda	VNPP3
ábyrgdarpersónarnir	SMPNA
er	VNPS3
spell	SNSA

Tað	PPNSN
eru	VNPP3
lokala	APWNSN
felagið	SNSNA
,	KC
sum	CR
skipar	VNPS3
fyri	DG
FM	TS
kappingini	SFSDA
.	KE

Í	DG
1991	NO
varð	VNAS3
kappast	VANSN
í	DG
Hvalvík	SFSDP
,	KC
í	DG
1992	NO
í	DG
Runavík	SFSDP
og	C
í	DG
1997	NO
í	DG
Hósvík	SFSDP
.	KE

Tá	C
ið	C
farið	VANSN
verður	VNPS3
til	DG
oyggjaleikirnar	SMPAA
á	DG
Gotlandi	SNSDP
í	DG
summar	SNSA
,	KC
fara	VNPP3
okkara	PP1PG
súkklarar	SMPN
at	CI
verja	VI
tey	PDNPA
heiðursmerki	SNPA
,	KC
sum	CR
teir	PPMPN
vunnu	VNAP3
á	DG
seinastu	ASWFPD
oyggjaleikunum	SMPDA
,	KC
og	C
haraftrat	DN
fara	VNPP3
teir	PPMPN
at	CI
gera	VI
eina	PBFSA
roynd	SFSA
at	CI
vinna	VI
enn	DN
gyltari	ACSNPA
heiðursmerkir	SNPA
.	KE

Ikki	DN
færri	DCN
enn	DN
25	NO
luttakarar	SMPN
vóru	VNAP3
við	DN
í	DG
einkultstartinum	SMSDA
.	KE

At	C
tveir	NCMPN
av	DG
okkara	PP1PG
súkklarum	SMPD
standa	VNPP3
seg	PPMSA
væl	DN
uttanlanda	DN
,	KC
førir	VNPS3
eisini	DN
við	DG
sær	PPNSD
,	KC
at	C
meiri	DCN
verður	VNPS3
kravt	VANSN
av	DG
okkara	PP1PG
heimligu	APSMPD
súkklarum	SMPD
,	KC
og	C
hesir	PDMPN
siga	VNPP3
eisini	DN
,	KC
at	C
teir	PPMPN
hava	VNPP3
ongantíð	DN
gjørt	VANSN
so	DN
nógv	DN
við	DG
venjingina	SFSAA
sum	C
í	DG
ár	SNSA
.	KE

KÍ	TS
og	C
HB	TS
eru	VNPP3
einastu	APWNPN
liðini	SNPNA
,	KC
sum	CR
hava	VNPP3
fult	APSNSA
stigatal	SNSA
,	KC
nú	DN
tvey	NCNPN
av	DG
átjan	NC
umførum	SNPD
í	DG
kappingini	SFSDA
í	DG
1999	NO
eru	VNPP3
løgd	VANPN
afturum	DN
,	KC
men	C
klaksvíkingar	SMPN
eru	VNPP3
fremri	ACSMPN
,	KC
tí	C
teir	PPMPN
hava	VNPP3
betri	ACSMPA
málmun	SMSA
.	KE

Skulu	VNPP1
vit	PP1PN
nevna	VI
ein	PBMSA
dyst	SMSA
,	KC
har	DN
HB	TS
ikki	DN
verður	VNPS3
mett	VANSN
at	CI
verða	VI
sjálvsagdur	VAMSN
vinnari	SMSN
,	KC
so	DN
er	VNPS3
tað	PPNSN
,	KC
tá	C
teir	PPMPN
skulu	VNPP3
spæla	VI
móti	DG
KÍ	TS
á	DG
útivølli	SMSD
,	KC
og	C
tað	PPNSN
verður	VNPS3
sunnudagin	SMSAA
.	KE

Men	C
teir	PPMPN
hava	VNPP3
ikki	DN
ráð	SNSA
at	CI
missa	VI
nakað	PBNSA
,	KC
tá	C
fuglfirðingar	SMPN
komandi	VP
sunnudag	SMSA
møta	VNPP3
upp	DN
í	DG
Gundadali	SMSDP
.	KE

VB	TS
hevur	VNPS3
fleiri	ACSFPA
ferðir	SFPA
áður	DN
snýtt	VANSN
GÍ	TS
í	DG
Sarpigerði	SMSDP
,	KC
og	C
úrslitini	SNPNA
hjá	DG
GÍ	TS
hesar	PDMPA
síðstu	ASWMPA
dagarnar	SMPAA
hava	VNPP3
verið	VANSN
alt	PBNSA
annað	PBNSA
enn	DN
sannførandi	VP
.	KE

Kvinnufelagasamskipan	SFSN
Føroya	SFPGP
átalar	VNPS3
harðliga	DN
,	KC
at	C
løgtingsmaður	SMSN
kann	VNPS3
varðveita	VI
sess	SMSA
sín	PPMSG
í	DG
tinginum	SNSDA
,	KC
hóast	C
hann	PPMSN
er	VNPS3
dømdur	VAMSN
sekur	APSMSN
í	DG
neyðtøku	SFSD
.	KE

Í	DG
gjár	SX
var	VNAS3
ein	PBMSN
stórur	APSMSN
dagur	SMSN
hjá	DG
íbúgvunum	SMPD
Inni	DN
á	DG
Gøtu	SFSDP
í	DG
Hoyvík	SFSDP
.	KE

Afturat	DG
sær	PPFSD
fær	VNPS3
hon	PPFSN
sjey	NC
starvsfólk	SNPA
,	KC
ið	CR
øll	PBNPN
eru	VNPP3
sett	VANPN
.	KE

Næsta	ASWNSN
stigið	SNSNA

-	KO
Serlæknafelagið	SNSNA
hevur	VNPS3
ikki	DN
góðkent	VANSN
avtaluna	SFSAA
.	KE

serlæknafelagið	SNSNA
greitt	APSNSN
,	KC
at	C
avtalan	SFSNA
er	VNPS3
ikki	DN
bindandi	VP
fyri	DG
serlæknarnar	SMPAA
.	KE

Ein	PBMSN
av	DG
teimum	PDMPD
er	VNPS3
sekstan	NC
ár	SNPN
,	KC
meðan	C
hinir	PDMPN
báðir	PBMPN
eru	VNPP3
ellivu	NC
ára	SNPG
gamlir	APSMPN
.	KE

Jens	SMSDP
Jacobsen	SXP
,	KC
yvirportørur	SMSN
,	KC
sigur	VNPS3
,	KC
at	C
sjúkrahúsið	SNSNA
í	DG
fleiri	ACSNPA
ár	SNPA
hevur	VNPS3
søkt	VANSN
um	DN
at	CI
fáa	VI
nýggjan	APSMSA
sjúkrabil	SMSA
,	KC
men	C
enn	DN
er	VNPS3
eingin	PBFSN
játtan	SFSN
komin	VAFSN
.	KE

Gamli	APWMSN
sjúkrabilurin	SMSNA
,	KC
ið	CR
motorurin	SMSNA
brendi	VNAS3
saman	DN
á	DN
,	KC
er	VNPS3
nú	DN
gjørdur	VAMSN
aftur	DN
.	KE

Tað	PPNSN
er	VNPS3
meira	DCN
enn	DN
so	DN
komið	VANSN
fyri	DN
,	KC
at	C
sjúkrabilur	SMSN
hjá	DG
Klaksvíkar	SFSGP
sjúkrahúsi	SNSD
er	VNPS3
steðgaður	VAMSN
upp	DN
,	KC
meðan	C
hann	PPMSN
hevur	VNPS3
verið	VANSN
í	DG
tænastu	SFSD
.	KE

Men	C
hetta	PDNSN
var	VNAS3
bara	DN
ein	PBMSN
partur	SMSN
-	KO
og	C
kanska	DN
tann	PDMSN
minni	ACWMSN
parturin	SMSNA
-	KO
av	DG
orsøkini	SFSDA
til	DG
,	KC
at	C
teir	PPMPN
umborð	DN
á	DG
Hvessingi	SMSD
tóktust	VEAP3
so	DN
ógvuliga	DN
fegnir	VAMPN
um	DG
sigurin	SMSAA
á	DG
norðoyastevnu	SFSD
.	KE

Hvessingur	SMSN
fekk	VNAS3
boyuna	SFSAA
á	DG
túsund	NC
metra	SMPG
málinum	SNSDA
um	DG
bakborð	SNSA
.	KE

Væleydnað	APSNSN
tiltak	SNSN
í	DG
Kagganum	SMSDA

Bólkurin	SMSNA
var	VNAS3
mannaður	VAMSN
við	DG
teimum	PDMPD
báðum	PBMPD
Jóan	SMSNP
Magnus	SMSNP
Johannesen	SXP
og	C
Johan	SMSNP
Ziskason	SMSNP
.	KE

Diatribes	F
er	VNPS3
uttan	DG
iva	SMSA
ein	PBMSN
bólkur	SMSN
á	DG
veg	SMSD
fram	DN
í	DG
føroyska	APWMSD
tónleikaheiminum	SMSDA
,	KC
og	C
tað	PPNSN
verður	VNPS3
spennandi	AI
at	CI
fylgja	VI
gongdini	SFSDA
hjá	DG
teimum	PPMPD
.	KE

Finaluna	SFSAA
vunnu	VNAP3
Heðin	SMSNP
og	C
Eyðvør	SFSNP
,	KC
og	C
fyri	DG
tað	PPNSA
fingu	VNAP3
tey	PPNPN
hvør	PBMSN
sína	PPFSG
fløsku	SFSA
av	DG
brúsandi	VP
løgi	SMSD
.	KE

Hóast	C
tey	PDNPN
flestu	ASWNPN
hildu	VNAP3
til	DN
í	DG
kjallaranum	SMSDA
,	KC
har	DN
livandi	VP
tónleikurin	SMSNA
var	VNAS3
,	KC
so	DN
gjørdu	VNAP3
tær	PDFPN
ymsu	APWFPN
kappingarnar	SFPNA
sítt	PENSG
til	DN
,	KC
at	C
fólkið	SNSNA
eisini	DN
spjaddist	VEAS3
eitt	PBNSA
sindur	SNSA
runt	DN
í	DG
húsinum	SNSDA
.	KE

Har	DN
umrøddu	VNAP3
tey	PPNPN
,	KC
hvussu	DN
spurningurin	SMSNA
skal	VNPS3
avgreiðast	VE
,	KC
nú	DN
einir	NR
200	NO
fleiri	ACSMPN
næmingar	SMPN
enn	DN
mett	VANSN
eru	VNPP3
í	DG
fólkaskúlanum	SMSDA
komandi	VP
skúlaár	SNSA
.	KE

Eisini	DN
eru	VNPP3
10.	NO
flokkarnir	SMPNA
,	KC
ið	CR
fara	VNPP3
út	DN
nú	DN
minni	ACSMPN
,	KC
enn	DN
flokkarnir	SMPNA
,	KC
ið	CR
koma	VNPP3
inn	DN
.	KE

Bjarni	SMSNP
Djurholm	SXP
vísir	VNPS3
á	DG
,	KC
at	C
tað	PPNSN
er	VNPS3
óheppið	APSNSN
,	KC
at	C
málið	SNSNA
ikki	DN
kemur	VNPS3
fram	DN
fyrr	DCN
enn	DN
nú	DN
,	KC
løgtingið	SNSNA
er	VNPS3
farið	VANSN
til	DG
hús	SNSG
.	KE

Nú	DN
siti	VNPS1
eg	PP1SN
við	DG
málinum	SNSDA
og	C
Bjarni	SMSNP
Djurholm	SXP
sigur	VNPS3
,	KC
at	C
vit	PP1PN
skulu	VNPP1
spara	VI
og	CI
skerja	VI
.	KE

Bjarni	SMSNP
Djurholm	SXP
,	KC
formaður	SMSN
í	DG
fíggjarnevndini	SFSDA
sigur	VNPS3
,	KC
at	C
nevndin	SFSNA
á	DG
fundi	SMSD
avgreiddi	VNAS3
málið	SNSAA
um	DG
neyðhjálp	SFSA
uppá	DG
2,5	NO
milliónir	SFPA
til	DG
Montenegro	SNSAP
,	KC
Albania	SNSAP
og	C
Makedonia	SNSAP
,	KC
tí	C
hetta	PDNSN
mál	SNSN
var	VNAS3
mett	VANSN
at	CI
hava	VI
skund	SNSA
og	C
vera	VI
beinleiðis	DN
framhald	SNSA
av	DG
tingviðgerð	SFSD
fyri	DG
einum	PBMSD
mánað	SMSD
síðani	DN
.	KE

Málið	SNSNA
er	VNPS3
súltað	VANSN

Hesum	PDNSD
er	VNPS3
eg	PP1SN
ímóti	DN
og	C
skulu	VNPP3
landstýrismenn	SMPN
hava	VI
møguleika	SMSA
at	CI
fáa	VI
hesi	PDNPA
málini	SNPAA
ígjøgnum	DN
,	KC
so	DN
skulu	VNPP3
teir	PPMPN
vísa	VI
sparingar	SFPA
aðrastaðir	DN
,	KC
sigur	VNPS3
Bjarni	SMSNP
Djurholm	SXP
.	KE

-	KO
Eftir	DG
mínari	APSFSD
sannføring	SFSD
,	KC
so	DN
er	VNPS3
hetta	PDNSN
í	DG
andsøgn	SFSD
við	DG
tað	PPNSA
,	KC
ið	CR
vit	PP1PN
hava	VNPP1
sett	VANSN
okkum	PP1PD
sum	C
mál	SNSA
,	KC
nevniliga	DN
at	CI
gerast	VE
sjálvberandi	AI
land	SNSN
.	KE

Hetta	PDNSN
er	VNPS3
ein	PBMSN
skannari	SMSN
,	KC
sum	CR
hevur	VNPS3
staðið	VANSN
ovaliga	DN
á	DG
ynskilistanum	SMSDA
á	DG
Landssjúkrahúsinum	SNSDA
í	DG
fleiri	ACSNPA
ár	SNPA
.	KE

-	KO
Tann	PDMSN
stóri	APWMSN
trupulleikin	SMSNA
hjá	DG
okkum	PP1PD
hevur	VNPS3
verið	VANSN
,	KC
at	C
vit	PP1PN
hava	VNPP1
heilt	DN
einfalt	DN
ikki	DN
havt	VANSN
pláss	SNSA
fyri	DG
skannaranum	SMSDA
.	KE

-	KO
Tilboðini	SFPNA
uppá	DG
arbeiðið	SNSAA
koma	VNPP3
inn	DN
nú	DN
í	DG
juni	SMSA
mánaða	SMSA
.	KE

Hetta	PDNSN
er	VNPS3
so	DN
eyðsæð	APSNSN
,	KC
at	C
møgleikin	SMSNA
at	CI
seta	VI
hann	PPMSA
onkra	PBNSA
aðrastaðni	DN
,	KC
hevur	VNPS3
ikki	DN
verið	VANSN
nevndur	VAMSN
,	KC
sigur	VNPS3
Anders	SMSNP
Harboe	SXP
Ree	SXP
.	KE

-	KO
Hetta	PDNSN
er	VNPS3
eitt	PBNSN
tól	SNSN
,	KC
sum	CR
læknarnir	SMPNA
á	DG
øllum	PBFPD
deildum	SFPD
hava	VNPP3
tráðað	VANSN
eftir	DN
í	DG
mong	APSNPA
ár	SNPA
.	KE

Skrivstovustjórin	SMSNA
í	DG
DanAdopt	F
,	KC
Ole	SMSNP
Bergman	SXP
,	KC
er	VNPS3
í	DG
hesum	PDMPD
døgum	SMPD
á	DG
kunningarvitjan	SFSA
í	DG
Føroyum	SFPDP
.	KE

Í	DG
1991	NO
vóru	VNAP3
13	NO
loyvi	SNPN
givin	VANPN
,	KC
í	DG
1992	NR
eitt	NCNSN
,	KC
í	DG
1993	NR
trý	NCNPN
,	KC
í	DG
1994	NR
fýra	NC
,	KC
í	DG
1995	NR
fimm	NC
,	KC
í	DG
1996	NR
átta	NC
og	C
í	DG
1997	NR
seks	NC
.	KE

JaiSita	F
Panigrahi	F
,	KC
ið	CR
DanAdopt	F
hevur	VNPS3
neyvt	VANSN
samstarv	SNSA
við	DN
,	KC
á	DG
vitjan	SFSA
í	DG
Føroyum	SFPDP
.	KE

-	KO
Tá	C
tyrluflúgvingin	SFSNA
seinast	DSN
var	VNAS3
»	KQ
uppi	DN
og	C
vendi	VNAS3
«	KQ
var	VNAS3
avgjørt	VANSN
,	KC
at	C
tað	PPNSN
skuldi	VNAS3
gerast	VE
ein	PBFSN
raðfesting	SFSN
.	KE

Hinvegin	DN
er	VNPS3
marknaðurin	SMSNA
fyri	DG
flogskiparum	SMPD
stórur	APSMSN
,	KC
so	DN
tað	PPNSN
er	VNPS3
væl	DN
skilligt	APSNSN
,	KC
hóast	C
tað	PPNSN
setur	VNPS3
verjuna	SFSAA
og	C
bjargingartænastuna	SFSAA
í	DG
eina	PBFSA
knípu	SFSA
,	KC
sigur	VNPS3
Eli	SMSNP
.	KE

Í	DG
Føroyum	SFPDP
hava	VNPP1
vit	PP1PN
sum	C
kunnugt	APSNSN
eina	NCFSA
tyrlu	SFSA
umframt	DG
sjóverjutyrluna	SFSAA
.	KE

Atlantsflog	SNSN
hevur	VNPS3
ikki	DN
fingið	VANSN
nakað	PBNSA
endaligt	APSNSA
svar	SNSA
frá	DG
teimum	PDMPD
framleiðarum	SMPD
teir	PPMPN
hava	VNPP3
havt	VANSN
fundir	SMPA
við	DN
,	KC
men	C
eftir	DG
tí	PPNSD
,	KC
sum	CR
